ano,mes,prec
2012,ABR,80.1 
2012,MAY,88.2 
2012,JUN,91.6 
2012,JUL,142.5 
2012,AGO,254.9 
2012,SEPT,225.5 
2012,OCT,94.1 
2012,NOV,21.4 
2012,DIC,8.7 
2013,ENE,0.0 
2013,FEB,0.0 
2013,MAR,8.4 
2013,ABR,90.7 
2013,MAY,111.5 
2013,JUN,74.6 
2013,JUL,87.2 
2013,AGO,226.7 
2013,SEPT,125.9 
2013,OCT,122.8 
2013,NOV,87.2 
2013,DIC,2.8 
2014,ENE,0.0 
2014,FEB,0.0 
2014,MAR,0.0 
2014,ABR,9.7 
2014,MAY,54.8 
2014,JUN,89.4 
2014,JUL,89.2 
2014,AGO,87.7 
2014,SEPT,316.9 
2014,OCT,198.5 
2014,NOV,87.1 
2014,DIC,18.8 
2015,ENE,9.0 
2015,FEB,0.0 
2015,MAR,0.0 
2015,ABR,37.1 
2015,MAY,59.0 
2015,JUN,44.1 
2015,JUL,68.7 
2015,AGO,139.8 
2015,SEPT,175.4 
2015,OCT,145.8 
2015,NOV,52.5 
2015,DIC,7.5 
